,index,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
88,88,Ponta Delgada,37.7333,-25.6667,62.01,88,75,16.11,PT,02/06/21 13:15
89,89,Provideniya,64.3833,-173.3,1.67,91,76,4.65,RU,02/06/21 13:16
90,90,Brownsville,25.9018,-97.4975,69.8,78,90,8.05,US,02/06/21 13:18
91,91,Mossamedes,-15.1961,12.1522,72.81,78,30,11.56,AO,02/06/21 13:15
92,92,Itarema,-2.9248,-39.9167,86.99,57,57,15.61,BR,02/06/21 13:16
93,93,Salalah,17.0151,54.0924,75.2,69,40,9.22,OM,02/06/21 13:17
94,94,Gweta,-20.1833,25.2333,82.15,59,87,8.81,BW,02/06/21 13:18
95,95,Port Lincoln,-34.7333,135.8667,60.06,82,66,13.56,AU,02/06/21 13:15
96,96,La Romana,18.4273,-68.9728,87.8,66,40,11.5,DO,02/06/21 13:18
97,97,Hobyo,5.3505,48.5268,77.72,75,1,14.18,SO,02/06/21 13:17
98,98,Caravelas,-17.7125,-39.2481,83.12,76,94,10.6,BR,02/06/21 13:18
99,99,Henties Bay,-22.116,14.2845,64.99,87,15,1.99,NA,02/06/21 13:16
100,100,Port Alfred,-33.5906,26.891,73.0,92,25,9.26,ZA,02/06/21 13:14
101,101,Tuatapere,-46.1333,167.6833,51.69,89,12,3.98,NZ,02/06/21 13:18
102,102,Lebu,-37.6167,-73.65,62.82,77,82,6.55,CL,02/06/21 13:15
103,103,Northam,51.0333,-4.2167,39.99,94,84,1.01,GB,02/06/21 13:18
104,104,Serenje,-13.2325,30.2352,65.68,98,67,4.76,ZM,02/06/21 13:18
105,105,Söderhamn,61.3037,17.0592,19.99,94,95,1.01,SE,02/06/21 13:18
106,106,Kaitangata,-46.2817,169.8464,49.91,93,2,2.91,NZ,02/06/21 13:15
107,107,Florence,43.7667,11.25,55.99,87,0,2.3,IT,02/06/21 13:18
108,108,Arraial do Cabo,-22.9661,-42.0278,77.0,78,75,5.75,BR,02/06/21 13:16
109,109,Lüderitz,-26.6481,15.1594,74.01,50,0,28.81,NA,02/06/21 13:18
110,110,Lorengau,-2.0226,147.2712,81.48,77,56,4.16,PG,02/06/21 13:15
111,111,Saskylakh,71.9167,114.0833,-35.25,81,80,5.3,RU,02/06/21 13:13
